Loca Time: 2017-6-5 21:52:58, Ticker Id: 1002, Field: 67, Price: 49.61
Loca Time: 2017-6-5 21:52:58, Ticker Id: 1001, Field: 66, Price: 47.43
Loca Time: 2017-6-5 21:52:58, Ticker Id: 1001, Field: 67, Price: 47.45
Loca Time: 2017-6-5 21:53:0, Ticker Id: 1001, Field: 68, Price: 47.45
Loca Time: 2017-6-5 21:53:3, Ticker Id: 1001, Field: 66, Price: 47.44
Loca Time: 2017-6-5 21:53:3, Ticker Id: 1002, Field: 66, Price: 49.6
Loca Time: 2017-6-5 21:53:3, Ticker Id: 1002, Field: 67, Price: 49.62
Loca Time: 2017-6-5 21:53:5, Ticker Id: 1001, Field: 68, Price: 47.44
Loca Time: 2017-6-5 21:53:13, Ticker Id: 1002, Field: 66, Price: 49.59
Loca Time: 2017-6-5 21:53:14, Ticker Id: 1001, Field: 66, Price: 47.43
Loca Time: 2017-6-5 21:53:18, Ticker Id: 1002, Field: 66, Price: 49.6
Loca Time: 2017-6-5 21:53:19, Ticker Id: 1001, Field: 66, Price: 47.44
Loca Time: 2017-6-5 21:53:23, Ticker Id: 1002, Field: 66, Price: 49.59
Loca Time: 2017-6-5 21:53:29, Ticker Id: 1002, Field: 66, Price: 49.6
Loca Time: 2017-6-5 21:53:59, Ticker Id: 1001, Field: 68, Price: 47.45
Loca Time: 2017-6-5 21:54:8, Ticker Id: 1002, Field: 68, Price: 49.6
